m49,geometry_name,ne_un_a3,fao_area,Flag,head,species,rendered_as
716,Zimbabwe,716,Zimbabwe,A,19855000.0,Chickens,A
894,Zambia,894,Zambia,I,41570000.0,Chickens,I
887,Yemen,887,Yemen,I,68741000.0,Chickens,I
704,Vietnam,704,Viet Nam,A,446540000.0,Chickens,A
862,Venezuela,862,Venezuela (Bolivarian Republic of),I,125383000.0,Chickens,I
336,Vatican,336,,,,Chickens,none
548,Vanuatu,548,Vanuatu,A,415000.0,Chickens,A
860,Uzbekistan,860,Uzbekistan,I,81965000.0,Chickens,I
858,Uruguay,858,Uruguay,I,47399000.0,Chickens,I
583,Micronesia,583,Micronesia (Federated States of),I,192000.0,Chickens,I
584,Marshall Is.,584,,,,Chickens,none
580,N. Mariana Is.,580,,,,Chickens,none
850,U.S. Virgin Is.,850,,,,Chickens,none
316,Guam,316,,,,Chickens,none
016,American Samoa,016,,,,Chickens,none
630,Puerto Rico,630,Puerto Rico,A,4459000.0,Chickens,A
840,United States of America,840,United States of America,E,1532000000.0,Chickens,E
-099,S. Geo. and the Is.,-099,,,,Chickens,none
-099,Br. Indian Ocean Ter.,-099,,,,Chickens,none
654,Saint Helena,654,,,,Chickens,none
612,Pitcairn Is.,612,,,,Chickens,none
660,Anguilla,660,,,,Chickens,none
238,Falkland Is.,238,,,,Chickens,none
136,Cayman Is.,136,,,,Chickens,none
060,Bermuda,060,,,,Chickens,none
092,British Virgin Is.,092,,,,Chickens,none
796,Turks and Caicos Is.,796,,,,Chickens,none
500,Montserrat,500,,,,Chickens,none
832,Jersey,832,,,,Chickens,none
831,Guernsey,831,,,,Chickens,none
833,Isle of Man,833,,,,Chickens,none
826,United Kingdom,826,United Kingdom of Great Britain and Northern Ireland,A,174193000.0,Chickens,A
784,United Arab Emirates,784,United Arab Emirates,I,26234000.0,Chickens,I
804,Ukraine,804,Ukraine,A,186623000.0,Chickens,A
800,Uganda,800,Uganda,A,70907000.0,Chickens,A
795,Turkmenistan,795,Turkmenistan,A,21108000.0,Chickens,A
792,Turkey,792,Türkiye,A,361096000.0,Chickens,A
788,Tunisia,788,Tunisia,I,101753000.0,Chickens,I
780,Trinidad and Tobago,780,Trinidad and Tobago,I,40505000.0,Chickens,I
776,Tonga,776,Tonga,I,344000.0,Chickens,I
768,Togo,768,Togo,A,34592000.0,Chickens,A
626,Timor-Leste,626,Timor-Leste,E,1004000.0,Chickens,E
764,Thailand,764,Thailand,E,283989000.0,Chickens,E
834,Tanzania,834,United Republic of Tanzania,I,33047000.0,Chickens,I
