year,full_reporters,zero_official,pct_full_reporters_zero,median_share_full,all_areas,zero_official_any,pct_any_zero,animal_weighted_official
2010,155,29,18.70967741935484,80.0,194,47,24.22680412371134,50.123872221345586
2011,155,27,17.419354838709676,80.0,194,44,22.68041237113402,51.39992525191703
2012,155,25,16.129032258064516,80.0,196,45,22.95918367346939,55.15387441299928
2013,155,30,19.35483870967742,80.0,196,49,25.0,56.83871082320411
2014,155,34,21.935483870967744,80.0,196,54,27.55102040816326,55.5713781270273
2015,155,38,24.516129032258064,80.0,196,57,29.081632653061224,53.97494414548096
2016,155,39,25.161290322580644,80.0,196,59,30.102040816326532,50.2101179040193
2017,155,37,23.870967741935484,80.0,196,56,28.57142857142857,56.79062144120914
2018,146,36,24.65753424657534,80.0,196,55,28.061224489795915,57.16902711583734
2019,147,35,23.809523809523807,80.0,196,54,27.55102040816326,60.79238678574522
2020,152,33,21.710526315789476,80.0,196,53,27.040816326530614,57.86175393727897
2021,142,37,26.056338028169012,80.0,196,58,29.591836734693878,55.316478685893365
2022,148,39,26.351351351351347,80.0,196,63,32.142857142857146,55.10182611829803
2023,150,50,33.33333333333333,80.0,195,74,37.94871794871795,50.957804339030965
2024,142,70,49.29577464788733,20.0,194,98,50.51546391752577,45.79343879294706
