m49,NAME,px2,Flag
184,Cook Is.,0.05857952013094991,I
690,Seychelles,0.1681320865632787,I
570,Niue,0.19017829355942903,I
659,St. Kitts and Nevis,0.22484108373163086,I
470,Malta,0.265166632743153,A
308,Grenada,0.27595628850231674,I
670,St. Vin. and Gren.,0.30013328170558795,E
052,Barbados,0.3755715302381118,I
776,Tonga,0.4168070363168679,I
028,Antigua and Barb.,0.41778613850152274,I
702,Singapore,0.4675481651717522,I
583,Micronesia,0.5053799002177105,E
048,Bahrain,0.5234007037069749,A
662,Saint Lucia,0.531984878994583,I
212,Dominica,0.6734163649235538,I
678,São Tomé and Principe,0.9504707766779694,E
344,Hong Kong,0.9939135158601015,I
234,Faeroe Is.,1.008734828226726,A
174,Comoros,1.529877937573868,I
480,Mauritius,1.8146855410417764,A
258,Fr. Polynesia,2.523176534898025,E
442,Luxembourg,2.5378973732102335,A
882,Samoa,2.6067247479285482,E
132,Cabo Verde,3.4598524348266,A
780,Trinidad and Tobago,4.9213635108501865,I
096,Brunei,5.468906511627157,A
196,Cyprus,5.5274803375490515,A
275,Palestine,6.1288663143669355,E
630,Puerto Rico,8.63367601466808,A
422,Lebanon,9.692634045459494,X
270,Gambia,9.95054949323802,A
388,Jamaica,10.553476137774728,I
634,Qatar,10.702934692773901,A
548,Vanuatu,10.897987368663186,A
044,Bahamas,12.241555475615083,I
499,Montenegro,13.2578492145036,A
626,Timor-Leste,14.486095246554337,E
748,eSwatini,16.426031349000876,A
414,Kuwait,16.76139484816807,I
242,Fiji,17.76712968301298,A
540,New Caledonia,18.028226867358793,I
705,Slovenia,19.605434226279197,A
222,El Salvador,19.67456987048713,A
262,Djibouti,20.936463346614445,I
376,Israel,21.337511883004527,A
084,Belize,21.98746287482748,I
646,Rwanda,24.474654237344772,A
807,North Macedonia,24.598406827740373,A
090,Solomon Is.,24.823666276718953,I
226,Eq. Guinea,25.687547521087396,I
332,Haiti,25.879253360769138,I
108,Burundi,26.23185636127404,A
008,Albania,27.477300808019557,A
051,Armenia,28.656632118541168,A
426,Lesotho,29.044258576329113,A
056,Belgium,29.769004726247488,A
624,Guinea-Bissau,30.923025692114464,I
498,Moldova,32.15930085929164,A
158,Taiwan,34.78509671482916,A
528,Netherlands,36.09948941391435,A
